Date,Open,High,Low,Close,Volume,Adj Close,stockName
2015-06-05,111.339996,111.360001,110.269997,110.370003,4505400,108.729039,HD
2015-06-04,112.519997,113.160004,111.169998,111.459999,4328600,109.802829,HD
2015-06-03,111.720001,113.480003,111.449997,113.160004,6337500,111.477559,HD
2015-06-02,110.75,112.18,110.639999,111.589996,6088200,109.930894,HD
2015-06-01,111.970001,112.339996,111.25,111.669998,5114500,109.42848,HD
2015-05-29,111.839996,112.589996,111.370003,111.419998,5310600,109.183498,HD
2015-05-28,111.910004,112.699997,111.860001,112.190002,2806100,109.938046,HD
2015-05-27,111.040001,112.529999,110.809998,112.160004,4147800,109.90865,HD
2015-05-26,112,112.18,110.690002,110.93,4612600,108.703336,HD
2015-05-22,111.870003,112.529999,111.459999,112.160004,3694000,109.90865,HD
2015-05-21,111.980003,112.330002,111.620003,112.010002,4238600,109.761659,HD
2015-05-20,112.190002,112.889999,111.220001,112.099998,7004500,109.849849,HD
2015-05-19,116.120003,116.480003,112.339996,112.339996,11133200,110.085029,HD
2015-05-18,113.870003,114.599998,113.160004,114.330002,6878200,112.03509,HD
2015-05-15,111.919998,113.400002,111.82,113.349998,4575800,111.074758,HD
2015-05-14,112.050003,112.220001,110.830002,111.940002,3815700,109.693065,HD
2015-05-13,112.919998,112.949997,111.099998,111.190002,4340700,108.958119,HD
2015-05-12,111.120003,112.82,110.830002,112.519997,4053800,110.261417,HD
2015-05-11,112.239998,112.910004,111.809998,111.900002,3725200,109.653867,HD
2015-05-08,112.400002,113.480003,112.110001,112.470001,6435300,110.212425,HD
2015-05-07,108.400002,110.720001,108.25,110.040001,5400200,107.831201,HD
2015-05-06,108.199997,108.910004,107.239998,108.309998,3996600,106.135924,HD
2015-05-05,109.199997,109.879997,107.980003,108.059998,4164800,105.890942,HD
2015-05-04,109.940002,110.449997,109.32,110.059998,3366800,107.850796,HD
2015-05-01,106.980003,109.790001,106.849998,109.550003,6696900,107.351039,HD
2015-04-30,108.559998,109.209999,106.620003,106.980003,9041600,104.832626,HD
2015-04-29,110.169998,110.309998,108.07,108.709999,7238900,106.527896,HD
2015-04-28,110.900002,111.769997,110.050003,110.580002,5743300,108.360363,HD
2015-04-27,114.050003,114.110001,111.279999,111.389999,5618000,109.154102,HD
2015-04-24,113.879997,114.040001,112.900002,113.699997,2878300,111.417731,HD
2015-04-23,112.739998,114.510002,112.559998,113.959999,3945300,111.672514,HD
2015-04-22,113.199997,113.309998,112.190002,112.989998,4065500,110.721984,HD
2015-04-21,113.5,113.980003,112.5,113.169998,3899500,110.898371,HD
2015-04-20,113,113.690002,112.68,112.860001,4396300,110.594596,HD
2015-04-17,112.910004,113.110001,111.769997,112.099998,6245200,109.849849,HD
2015-04-16,113.339996,113.989998,113.019997,113.370003,4013000,111.094361,HD
2015-04-15,114.580002,115.209999,113.379997,113.449997,4210800,111.172749,HD
2015-04-14,114.199997,114.980003,113.110001,114.050003,4072500,111.760712,HD
2015-04-13,114.959999,115.43,114.349998,114.440002,2982000,112.142883,HD
2015-04-10,114.470001,115.650002,114.419998,115.239998,3658100,112.92682,HD
2015-04-09,115.459999,116.25,114.139999,114.57,4674000,112.270271,HD
2015-04-08,113.970001,115.809998,113.830002,115.589996,3753500,113.269793,HD
2015-04-07,114.830002,115.790001,114.230003,114.300003,3188300,112.005694,HD
2015-04-06,113.449997,115.550003,113.410004,114.949997,3248900,112.64264,HD
2015-04-02,112.610001,114.919998,112.519997,114.540001,4064800,112.240874,HD
2015-04-01,113.879997,114,112.43,113.129997,4737700,110.859173,HD
2015-03-31,113.699997,115.370003,113.550003,113.610001,4128800,111.329541,HD
2015-03-30,114.959999,116.050003,114.529999,114.629997,3968400,112.329064,HD
2015-03-27,112.080002,114.230003,112,113.860001,3879300,111.574523,HD
2015-03-26,113.360001,113.43,111.580002,112.370003,5409600,110.114434,HD
2015-03-25,115.959999,116.610001,113.639999,113.68,4725800,111.398136,HD
2015-03-24,116.199997,117.830002,116.040001,116.150002,4026900,113.818558,HD
2015-03-23,117.040001,117.75,116.07,116.07,4095200,113.740162,HD
2015-03-20,115.550003,117.989998,115.330002,117.489998,8446000,115.131657,HD
2015-03-19,116.209999,116.43,115.07,115.160004,3545600,112.848432,HD
2015-03-18,115.410004,116.419998,113.309998,116.080002,4773600,113.749963,HD
2015-03-17,115.449997,116.080002,115.139999,115.580002,3715900,113.259999,HD
2015-03-16,115.330002,116.610001,115.32,116.5,4820300,114.161531,HD
2015-03-13,115.989998,116.309998,114,114.82,4626900,112.515252,HD
2015-03-12,113.849998,116.459999,113.769997,116.099998,5742000,113.769558,HD
2015-03-11,112.68,113.800003,112.410004,113.07,4356500,110.80038,HD
2015-03-10,113.849998,114.339996,112.559998,112.559998,5685000,110.300615,HD
2015-03-09,114.379997,115.480003,114.370003,115.25,5351200,112.358462,HD
2015-03-06,115.959999,115.959999,114,114.449997,5169200,111.578531,HD
2015-03-05,115.230003,116.099998,115.059998,115.910004,4088700,113.001907,HD
2015-03-04,115.389999,115.470001,114.25,114.760002,3799000,111.880758,HD
2015-03-03,116.110001,116.120003,114.800003,116.07,3784800,113.157889,HD
2015-03-02,114.860001,117.059998,114.860001,116.120003,5971900,113.206637,HD
2015-02-27,115.190002,115.669998,114.559998,114.75,5732600,111.871007,HD
2015-02-26,116,116.419998,115.199997,115.379997,5649900,112.485198,HD
2015-02-25,117.349998,117.349998,115.849998,116.309998,7328200,113.391865,HD
2015-02-24,117.5,117.919998,115.129997,116.75,12775500,113.820828,HD
2015-02-23,112.989998,113.160004,111.800003,112.279999,5638000,109.462976,HD
2015-02-20,110.809998,112.25,110.050003,112.239998,7276100,109.423979,HD
2015-02-19,112.010002,112.449997,110.639999,110.940002,5910600,108.156599,HD
2015-02-18,111.599998,112.169998,111,111.989998,3731600,109.180251,HD
2015-02-17,111.690002,112.230003,110.620003,112,6028600,109.190002,HD
2015-02-13,112.010002,112.389999,111.300003,111.889999,5098600,109.082762,HD
2015-02-12,110.809998,112.199997,110.209999,112.160004,4592200,109.345992,HD
2015-02-11,110.599998,110.800003,109.809998,110.309998,4552900,107.542401,HD
2015-02-10,108.790001,110.849998,108.660004,110.669998,5414400,107.893369,HD
2015-02-09,108.879997,109.459999,108.040001,108.339996,4243800,105.621826,HD
2015-02-06,109.279999,109.739998,108.459999,109.040001,4178800,106.304268,HD
2015-02-05,108.980003,109.339996,108.150002,108.989998,4471800,106.255519,HD
2015-02-04,107.089996,109,106.75,108.410004,6765200,105.690076,HD
2015-02-03,104.889999,107.32,104.809998,107.239998,5969200,104.549425,HD
2015-02-02,104.779999,105,101.57,104.43,5012800,101.809928,HD
2015-01-30,106.360001,106.860001,104.379997,104.419998,7000000,101.800177,HD
2015-01-29,105.139999,107.739998,104.510002,107.620003,6529300,104.919896,HD
2015-01-28,105.309998,107.43,104.599998,104.739998,4917300,102.112148,HD
2015-01-27,104.779999,105.809998,104.400002,105.160004,4606500,102.521617,HD
2015-01-26,105.360001,106.5,105.059998,106.360001,4189700,103.691506,HD
2015-01-23,106.209999,106.480003,105.309998,105.370003,4072300,102.726347,HD
2015-01-22,104.379997,106.309998,103.540001,106.07,5804100,103.408781,HD
2015-01-21,103.050003,104.059998,102.5,103.529999,5899200,100.932507,HD
2015-01-20,104.839996,104.949997,102.349998,103.25,5331300,100.659534,HD
2015-01-16,100.860001,104.309998,100.239998,104.120003,6403800,101.507709,HD
2015-01-15,102.639999,103.650002,100.82,101.010002,6888800,98.475736,HD
2015-01-14,102.419998,103.410004,101.879997,102.639999,5384400,100.064837,HD
2015-01-13,105.410004,106.040001,103.150002,103.730003,5395200,101.127494,HD
2015-01-12,105.169998,105.290001,104.059998,104.419998,4990400,101.800177,HD
2015-01-09,106.879997,106.879997,104.82,104.889999,5717100,102.258387,HD
2015-01-08,105.370003,106.989998,105.019997,106.720001,6464600,104.042475,HD
2015-01-07,102.290001,104.470001,102,104.410004,5091000,101.790434,HD
2015-01-06,102.07,102.07,100.339996,100.949997,4910100,98.417236,HD
2015-01-05,102.779999,102.779999,100.790001,101.260002,5878100,98.719463,HD
2015-01-02,105.160004,105.660004,102.669998,103.43,4323700,100.835018,HD
